"","B_Cycling","B_GC_DZ","B_GC_LZ","B_GC_prePB","B_IFN","B_activated","B_mem","B_naive","B_plasma","B_preGC","DC_CCR7.","DC_cDC1","DC_cDC2","DC_pDC","Endo","FDC","ILC","Macrophages_M1","Macrophages_M2","Mast","Monocytes","NK","NKT","T_CD4.","T_CD4._TfH","T_CD4._TfH_GC","T_CD4._naive","T_CD8._CD161.","T_CD8._cytotoxic","T_CD8._naive","T_TIM3.","T_TfR","T_Treg","VSMC"
"0610010K14Rik",0.23054452,0.10702416,0.1586801,0.20956285,0.035449386,0.07990326,0.06841722,0.060942657,0.08940104,0.14937836,0.9905732,0.11890616,0.62137914,0.42242837,0.34464878,0.21432465,0.207211,0.20285852,0.16873755,0.30515206,0.20153031,0.21154706,0.06351736,0.15269673,0.045678347,0.10165964,0.09554099,0.077690236,0.076516755,0.08742899,0.32794133,0.21198297,0.108015575,0.11663119
"0610012G03Rik",0.69487894,0.37965247,0.33957335,0.39265266,0.34786618,0.16093163,0.21320553,0.16924645,0.2992198,0.32619113,0.27042398,0.16299716,0.4220046,0.44136766,0.33424386,0.123922125,0.12150003,0.031836823,0.14493966,0.14313723,0.1932367,0.23375528,0.1521824,0.19625916,0.14557539,0.25512722,0.23527446,0.18221986,0.16559331,0.2371411,0.5707885,0.28592408,0.17470886,0.63382363
"0610030E20Rik",0.31074807,0.16218592,0.15374745,0.32570583,0.12235881,0.07908775,0.08857194,0.07415907,0.1564705,0.103598095,0.24877597,0.10267088,0.17724273,0.29265293,0.16074416,0.29931137,0.14895464,0.11780036,0.15991138,0.18526292,0.21210787,0.11458777,0.08244985,0.086999625,0.09120862,0.13857965,0.09225472,0.0778172,0.063941084,0.0995696,0.29267526,0.14352623,0.084307946,0.16618915
"1110004F10Rik",3.1804984,1.3912877,1.2778149,1.8930936,1.1484357,0.92519414,1.1579399,0.960187,1.5046753,1.4404256,1.3487589,1.2389556,2.5954278,2.2288604,1.962907,1.477825,1.0325793,0.9366484,1.1075531,0.78643864,1.1052674,1.0205,0.98914033,1.1262925,0.90853065,1.1478503,0.9591044,0.97595376,0.87029076,1.0417572,2.2878067,1.1906695,1.027453,2.3810077
"1110038F14Rik",0.39514214,0.22816405,0.27965942,0.3337618,0.20855263,0.12459023,0.15606573,0.121973485,0.17308022,0.48070782,0.1835455,0.06987745,0.30390474,0.29446468,0.4849548,0.3266776,0.07927039,0.22770034,0.23459613,0.12876898,0.12164574,0.14617147,0.12494733,0.12869722,0.09522932,0.13914758,0.14557947,0.112122685,0.08235326,0.1474095,0.26385468,0.16115291,0.11716295,0.53476053
"1110059E24Rik",0.19322807,0.10873992,0.1007087,0.10632068,0.16093622,0.074358344,0.075006574,0.07831824,0.10906531,0.1336143,0.046286255,0.18304898,0.16592996,0.16068494,0.2345808,0.34516713,0.1067008,0.056814246,0.0951076,0.10260171,0.104465485,0.096174054,0.07465071,0.071784236,0.05948416,0.07642318,0.081225924,0.058782235,0.057998512,0.078588635,0.1843797,0.1113991,0.063029446,0.4934172
"1110059G10Rik",0.5219143,0.20950882,0.2707071,0.117940925,0.21576184,0.15231681,0.19731505,0.1647259,0.19179216,0.26160774,0.09660955,0.21395291,0.30755034,0.24304494,0.38696644,0.3044843,0.093159646,0.071155146,0.19345742,0.16972841,0.23506029,0.19376749,0.1726031,0.19161893,0.15388209,0.20178814,0.17688192,0.13089877,0.16130763,0.19284932,0.52807325,0.21638577,0.15486187,0.22118047
"1110065P20Rik",0.23325181,0.10106695,0.124818556,0.1637843,0.1042113,0.037110068,0.09854654,0.04618394,0.62287337,0.111429796,0.10798617,0.07220214,0.38460281,0.21570817,0.31969404,0.369154,0.07190204,0.23764183,0.12776583,0.109514035,0.23467928,0.15209511,0.060821723,0.08026145,0.043422677,0.14718325,0.052801028,0.06708875,0.078912035,0.064268604,0.4444933,0.12051596,0.073578134,0.80571645
"1190005I06Rik",0.18841644,0.6893145,0.3261864,0.7204485,0.27499008,0.45475125,0.30044737,0.50617313,0.6782666,0.12844582,0.044974335,0.020067982,0.08121937,0.025790544,0.01834111,0.30910507,0.054348465,0.15501426,0.038080677,0.11532723,0.040970583,0.022653593,0.01308158,0.04722437,0.00609885,0.010571844,0.032622878,0.026051946,0.029574534,0.05722817,0.27220595,0.016499873,0.03256534,0.09337931
"1500009L16Rik",3.6960034,0.95891047,0.7641928,0.3778771,0.25482756,0.19095105,0.35658616,0.15335631,0.43521422,0.24081932,0.06614916,0.046552785,0.45542675,7.0529323,0.057376195,0.5092661,0.094326764,0.22953562,0.021000916,0.14693645,0.012521492,1.0449655,0.84514153,0.32510003,0.0073079206,0.014295631,0.061256766,0.25773734,0.6461885,0.1692686,1.9615886,0.15741447,0.1375501,0.5556315
"1600012H06Rik",0.13701619,0.17569917,0.14644915,0.15448394,0.13544124,0.055138797,0.06158798,0.06596472,0.1788828,0.06873951,0.38893536,0.04919507,0.120120995,0.06737827,0.11995807,0.089123964,0.08184654,0.066616684,0.08212066,0.118140176,0.114031084,0.058647305,0.0537724,0.08374043,0.06745138,0.071264975,0.07268865,0.057947125,0.041894004,0.07219422,0.09605997,0.05974545,0.06532596,0.08615316
"1600014C10Rik",0.118493035,0.083471335,0.0980896,0.1706785,0.09623558,0.06211313,0.079954684,0.057896648,0.14685014,0.09792657,0.15412717,0.04304388,0.12980969,0.14294411,0.13949901,0.0721105,0.0704742,0.185813,0.11305033,0.09487296,0.03912632,0.20760709,0.18797185,0.14833461,0.106040396,0.118232556,0.09569849,0.1073069,0.11401533,0.12534334,0.37646306,0.18532315,0.116671786,0.46794003
"1700017B05Rik",0.10753598,0.03469732,0.046308294,0.035148714,0.06679447,0.029079404,0.06138954,0.019210981,0.24783237,0.059967674,0.086368166,0.041849915,0.53153205,0.4314271,0.10188365,0.16535613,0.17434433,0.12315964,0.19363298,0.2228756,0.47898552,0.12030815,0.046800423,0.031653535,0.033820614,0.018444384,0.031856995,0.030591637,0.027428119,0.029995225,0.10399425,0.01897563,0.024992056,0.2652212
"1700019D03Rik",0.4337919,0.21293446,0.31101254,0.03470058,0.016901407,0.005053213,0.014970505,0.0014876903,0.37650222,0.013543094,0.04801898,0.017885504,0.011346191,0.066760786,0.028302943,0.19433281,0.005817179,0.06763031,0.013702133,0.11456702,0.023513338,0.0017142678,0.0017467167,0.0017321378,0.00044817143,0.0008361983,0.00057189626,0.00121133,0.0022051476,0.0016354829,0.009190192,0.004856756,0.0009646051,0.09890267
"1700025G04Rik",0.08444001,0.02463957,0.051025227,0.04988063,0.009213053,0.0005614287,0.0028230473,0.00045187701,0.012347563,0.0047381623,0.6992728,0.99699247,0.4531773,0.032340966,1.0313439,0.05027742,0.027871884,0.55403376,0.12742636,0.5543402,0.028772462,0.60608006,0.16728945,0.00578841,0.0008927253,0.0005852296,0.00056117564,0.03581858,0.22493176,0.004295397,0.021388264,0.0024207833,0.0017276644,0.71380985
"1700066M21Rik",0.2576166,0.082176164,0.16344327,0.26298004,0.06988836,0.09662254,0.12310581,0.07041998,0.09118311,0.097390585,0.21619576,0.06244899,0.26656613,0.106362745,0.25265372,0.19730856,0.08964605,0.11711526,0.11387001,0.1921288,0.10054607,0.062718466,0.067750886,0.12426288,0.11821579,0.090600245,0.10959221,0.08279302,0.07809096,0.1164042,0.2151792,0.11683263,0.112655625,0.27654013
"1700093K21Rik",0.29461628,0.20679295,0.15985213,0.066301875,0.045045175,0.054370116,0.07358,0.051673323,0.3276454,0.030540345,0.051302806,0.13436937,0.107502036,0.11106252,0.21922976,0.30043325,0.07490781,0.13442029,0.14835733,0.20656429,0.077260114,0.080173194,0.034647938,0.048903596,0.033463795,0.068582036,0.05904867,0.04792263,0.03250768,0.0645954,0.22553536,0.08296456,0.05444041,0.27829328
"1700113H08Rik",0.0126407435,0.0025536167,0.003823142,0.06948542,0.20466071,0.21570684,0.19553305,0.18546693,0.028915145,0.065087095,0.041683506,0.034956735,0.013331758,0.06378225,0.00724485,0.07374859,0.007726176,0.09422946,0.0400348,0.10378039,0.0073859612,0.005222572,0.013250942,0.043762278,0.05366315,0.021528114,0.052095383,0.0371346,0.046605475,0.05888966,0.05022118,0.030708747,0.074104734,0.055070538
"1700123O20Rik",0.47844642,0.24996932,0.2570443,0.39846292,0.14209735,0.11349874,0.18542714,0.12054618,0.40602946,0.15894473,0.41929042,0.12432003,0.45801476,0.2820017,0.6957534,0.33540896,0.1491184,0.38645437,0.20508327,0.13371222,0.26577714,0.2468068,0.16131572,0.21729514,0.14073527,0.1811315,0.19246793,0.14987259,0.1439126,0.17590986,0.6583901,0.3056729,0.20460528,0.86959875
"1810009A15Rik",0.30258006,0.06657938,0.09882699,0.07024055,0.033626463,0.016349586,0.01860884,0.013341548,0.058430046,0.08680371,0.06969164,0.020447839,0.07044006,0.044024423,0.03132506,0.072479874,0.0106244,0.06995185,0.013977731,0.21048258,0.017831735,0.043290455,0.023633461,0.023175009,0.006874951,0.017895766,0.009560751,0.023731979,0.023458753,0.04311912,0.1643048,0.06403773,0.008762381,0.19196768
"1810030O07Rik",0.30060226,0.23244561,0.23386464,0.15633771,0.14477733,0.12211278,0.13687687,0.128838,0.12782091,0.12327876,0.15717173,0.10097841,0.22094996,0.1823348,0.1337789,0.20965421,0.105356075,0.19983582,0.1849674,0.10289085,0.22764999,0.18687129,0.15854669,0.108196646,0.08496156,0.093984246,0.100800894,0.11905635,0.114184014,0.10590122,0.4022807,0.124917425,0.09071793,0.0987887
"1810037I17Rik",4.7151256,4.925464,1.8941884,4.0775285,1.3545026,0.840354,1.1424483,0.84294206,3.7770274,0.9517,2.5604758,1.4234459,2.9534411,2.3438823,2.3703063,1.9882674,0.9876584,1.9101987,1.2817439,0.9213064,2.0173254,1.2106544,0.9772664,1.346606,1.0794244,1.1549695,1.1185695,1.0289848,0.884756,1.1677965,2.1465056,1.4121325,1.042446,2.3097973
"1810055G02Rik",0.3376771,0.12651478,0.11723823,0.2615524,0.16229422,0.17874074,0.15641251,0.1917969,0.5945103,0.17235637,0.120940804,0.031349514,0.15306444,0.2932458,0.06992891,0.34476778,0.033534385,0.13292879,0.094565205,0.66192955,0.08893139,0.10027276,0.045361042,0.044977013,0.02596686,0.02264186,0.029754875,0.031860758,0.03719905,0.038719144,0.12645032,0.03438692,0.045771223,0.40183672
"2200002D01Rik",0.00048174363,0.0012797463,0.00065243803,0.17901097,0.018683719,0.0010927527,0.00027076298,0.0005451645,0.004089524,0.013752845,0.51993495,0.099572055,0.1233384,0.01795233,0.06380012,0.6688584,0.009597159,0.055979222,0.06187815,0.620106,0.016506733,0.0016756314,0.001847327,0.0023628408,0.00095628045,0.0013310164,0.00076946506,0.003803455,0.00046860188,0.0007748277,0.007740203,0.0022257508,0.00091867393,0.3892812
"2210016L21Rik",0.24177815,0.12528297,0.13116238,0.10442426,0.10949944,0.067168295,0.08656788,0.06952441,0.13186449,0.1555684,0.16439536,0.018341634,0.14768618,0.069712885,0.16202913,0.0762012,0.074114464,0.12873003,0.107318915,0.22426385,0.059285235,0.11408146,0.08282241,0.08785879,0.07869397,0.0840889,0.08897759,0.08100107,0.064480595,0.09998637,0.1673646,0.09296498,0.087968394,0.17733431
"2300009A05Rik",0.2992051,0.15240549,0.15875064,0.1961065,0.056366313,0.07856709,0.09501175,0.064503014,0.543433,0.14222756,0.1779243,0.0868165,0.2944424,0.1956656,0.31774545,0.31581897,0.23507677,0.21725078,0.1424623,0.4737344,0.09989674,0.2170433,0.16872434,0.20079713,0.18803674,0.24555367,0.18551366,0.17870706,0.15855782,0.21163608,0.40578243,0.28477785,0.22266303,0.40493137
"2310011J03Rik",0.6339769,0.345804,0.35918126,0.44015777,0.22664149,0.22839634,0.23561673,0.20643148,0.31358045,0.28567857,0.16545425,0.13035592,0.24172913,0.29648408,0.30824775,0.28753358,0.19423886,0.25236887,0.15005122,0.14683603,0.22567317,0.29144242,0.19392292,0.26810458,0.18006831,0.30880687,0.21817385,0.21936227,0.2165656,0.2101274,0.46131322,0.2780033,0.27147806,0.49313143
"2310033P09Rik",0.86561984,0.17773394,0.22733702,0.31900427,0.16091289,0.10568722,0.15256973,0.10334619,0.16319542,0.20851801,0.47200766,0.087348156,0.5342183,0.22206923,0.3189574,0.13480502,0.16442758,0.14354813,0.095943324,0.20007381,0.20752823,0.21920209,0.18266499,0.16201909,0.13749182,0.18126649,0.15951975,0.12202078,0.11979735,0.13712882,0.49369666,0.1565325,0.14155544,0.5921705
"2310039H08Rik",0.4046282,0.3486489,0.19640256,0.3434808,0.161355,0.06633026,0.09983598,0.07501495,0.2093923,0.08481852,0.22382094,0.18835047,0.18770327,0.35185608,0.22225344,0.24897741,0.14792778,0.110737815,0.1311784,0.16638425,0.12635663,0.16630259,0.09554274,0.14921285,0.10145078,0.19350423,0.1203238,0.14051442,0.10528829,0.16213006,0.38907054,0.16964185,0.11638831,0.30754358
"2310061I04Rik",0.25833294,0.07257787,0.08849911,0.035220895,0.03414083,0.061356016,0.08483923,0.058887795,0.101725936,0.104301855,0.16900207,0.017719805,0.2365259,0.12866105,0.15676603,0.10919225,0.05451142,0.061763715,0.07648058,0.099525005,0.060644723,0.10125833,0.069458835,0.09018097,0.07545408,0.101155736,0.07500065,0.08708372,0.08622759,0.10537323,0.24289103,0.10305385,0.07146123,0.20416214
"2410004B18Rik",0.54483557,0.30496997,0.30906633,0.21815063,0.20668654,0.20081306,0.25228825,0.19406775,0.32409585,0.26381895,0.51507485,0.030144127,0.4066186,0.32844356,0.34054556,0.44236138,0.2710732,0.15707575,0.18723522,0.26568976,0.2187066,0.29163495,0.25379017,0.22216472,0.18991043,0.2570964,0.23771095,0.2292784,0.20001677,0.29821235,0.42965493,0.23765878,0.17733474,0.3829679
"2510002D24Rik",0.98431593,0.53867906,0.36114404,0.46483478,0.28767034,0.21131042,0.2583899,0.1916425,0.5632465,0.2680684,0.32324198,0.15340623,0.5376165,0.53806496,0.42561966,0.42638248,0.18116318,0.37042448,0.2023767,0.4824693,0.2624908,0.27627304,0.14468674,0.2206073,0.19661218,0.3356062,0.20452179,0.18106101,0.20858034,0.21896192,0.6078545,0.32203072,0.20279996,0.35544047
"2510039O18Rik",0.141915,0.076101184,0.06486221,0.15760422,0.080196805,0.018645123,0.04965983,0.023904068,0.16263276,0.062415108,0.07702054,0.024055205,0.23628116,0.33123752,0.21067105,0.27341565,0.04033305,0.06011894,0.14110944,0.10892561,0.087198794,0.047770146,0.02533661,0.034174535,0.021028666,0.044805575,0.011743549,0.036393635,0.03452499,0.023228751,0.20263146,0.058171388,0.025113884,0.34586275
"2610028H24Rik",0.7929973,0.023126328,0.021845317,0.02595262,0.007844263,0.0028871445,0.006654698,0.004972107,0.032785524,0.00872479,0.09261259,0.036386166,0.015936071,0.033074338,0.01089175,0.02811268,0.008739514,0.046671096,0.017492061,0.11892782,0.009345942,0.04093308,0.004232618,0.011487314,0.003398879,0.008390712,0.005456345,0.003629583,0.005759901,0.006094535,0.24097268,0.01393603,0.0080856215,0.054926302
"2700049A03Rik",0.20231967,0.061190475,0.073863454,0.033972804,0.081214026,0.052579273,0.06410965,0.036615044,0.070385724,0.03093248,0.1194322,0.021679994,0.08961629,0.05373249,0.10829452,0.064970285,0.07554995,0.102388054,0.12966944,0.110531636,0.03743316,0.07174198,0.07317474,0.084012024,0.07186141,0.08889167,0.08151224,0.070527986,0.058507193,0.08809564,0.22159131,0.08653387,0.06180296,0.10919198
"2700062C07Rik",0.28945154,0.13578522,0.14587069,0.29297873,0.06137149,0.063964,0.08865213,0.06622949,0.17779906,0.10851691,0.113752626,0.10944772,0.19780613,0.11994881,0.12674938,0.17634061,0.029877564,0.08609747,0.12928236,0.18942481,0.094244845,0.11289144,0.07725366,0.0845406,0.05542022,0.10651802,0.07294486,0.075070046,0.061194595,0.076641604,0.24923472,0.08774013,0.072548054,0.2736615
"2810004N23Rik",0.70735234,0.3116137,0.33391812,0.34154212,0.14696878,0.14768548,0.17225824,0.14829229,0.21160908,0.1790534,0.36425644,0.17340805,0.38752925,0.19081707,0.216077,0.36224532,0.10657066,0.11046261,0.1061651,0.11020064,0.13597749,0.21705894,0.1433959,0.1447156,0.111263216,0.20946944,0.1462756,0.13470568,0.13301037,0.18277648,0.5428888,0.20605741,0.15446334,0.27829608
"3110040N11Rik",0.61616004,0.36809763,0.25500056,0.29787698,0.24020897,0.18244575,0.24251495,0.16047879,0.3317748,0.22169968,0.26305267,0.17350885,0.31777838,0.4105227,0.32543138,0.29473126,0.17856653,0.12939653,0.1925646,0.10171105,0.21727775,0.20065786,0.16197123,0.2098593,0.18012795,0.23800805,0.21606193,0.16930737,0.16725728,0.22830269,0.353708,0.18712679,0.19894944,0.5767546
"3110082I17Rik",0.8719486,0.71049196,0.85679466,1.963096,0.33225384,0.21819471,0.29861167,0.22012217,0.8582414,0.31308752,0.15426353,0.26906866,0.9320188,0.15363027,0.39455357,0.6893143,0.16551319,0.23517483,0.3922078,0.2952166,0.27828142,0.16284728,0.14083017,0.15195222,0.1481878,0.15158288,0.07656857,0.10788548,0.120179504,0.10740962,0.30978048,0.09809233,0.14670633,0.72702557
"4833439L19Rik",0.23131245,0.14681222,0.17096493,0.14688253,0.21513574,0.13391307,0.134321,0.11692827,0.20592014,0.13695781,0.18214098,0.07847249,0.21451353,0.2477934,0.40410742,0.23886064,0.15516792,0.1121721,0.16716865,0.34084395,0.061871823,0.13707832,0.15810777,0.13297997,0.119456455,0.11955907,0.1305881,0.13062929,0.13615853,0.1526188,0.24885403,0.1297317,0.15493129,0.5183098
"4921524J17Rik",0.73831767,0.47189236,0.41747433,0.41988513,0.19936632,0.13852924,0.22142729,0.09462618,0.2547385,0.113597885,0.18574585,0.07895429,0.37803838,0.17894016,0.108682916,0.3511107,0.07735307,0.091655165,0.15270346,0.10797112,0.09006432,0.07107786,0.032383356,0.086218275,0.071826644,0.30458885,0.06188189,0.03997833,0.06246233,0.037238553,0.6147819,0.3792481,0.14804825,0.13531554
"4930430F08Rik",0.24607053,0.09120099,0.09650147,0.07299205,0.05665134,0.06556499,0.077662975,0.055884767,0.13815683,0.18136868,0.04554946,0.02437218,0.09413651,0.021526817,0.19176708,0.16354302,0.1552183,0.09498048,0.10324292,0.11083945,0.025748251,0.061355975,0.09634021,0.09808721,0.07537688,0.061621312,0.10925286,0.099860825,0.07073765,0.07759646,0.23904862,0.100149356,0.085757926,0.21415013
"4930453N24Rik",0.4963562,0.2644909,0.32977903,0.32406175,0.34107655,0.1937004,0.21371114,0.17542905,0.18083028,0.2666009,0.11020933,0.26567474,0.39566663,0.29663777,0.1681901,0.24594644,0.16623326,0.24390645,0.19849886,0.10047592,0.1629579,0.17830001,0.11798181,0.09815923,0.13913469,0.2100235,0.11648282,0.12363282,0.112533495,0.13634115,0.31418583,0.22937576,0.15880394,0.20020892
"4930523C07Rik",0.38891873,0.29370877,0.17855114,0.53612787,0.47543594,0.20818025,0.17728476,0.22938775,0.49062875,0.16367652,0.10206215,0.17931855,0.09128326,0.09774673,0.094400235,0.19140854,0.024947658,0.05849078,0.08585544,0.2830394,0.08027051,0.056206424,0.069365315,0.11628693,0.10871715,0.06717712,0.073152766,0.08294977,0.085006654,0.08054752,0.16848983,0.09341614,0.15097858,0.29737192
"4931406C07Rik",0.16665998,0.14934692,0.16416366,0.18160614,0.1532731,0.084719926,0.0848895,0.07248821,0.19376697,0.09426127,0.041526735,0.051627234,0.13051587,0.23240227,0.26144025,0.26319635,0.077067874,0.114807315,0.11692836,0.11276585,0.08774904,0.08987028,0.07304535,0.056451034,0.062347807,0.08479105,0.069406494,0.04590854,0.04440272,0.08772269,0.17275082,0.07537978,0.07316482,0.15493192
"4931414P19Rik",0.15261789,0.09043357,0.06931032,0.06628107,0.03976244,0.036838382,0.03884815,0.04088168,0.05978802,0.03918937,0.045098323,0.019269684,0.067752525,0.08280864,0.03318017,0.12352424,0.029297112,0.070929855,0.013972775,0.120363854,0.055576082,0.04032751,0.029580824,0.03646273,0.021562137,0.050156467,0.03632704,0.026281087,0.023502583,0.05547478,0.08489041,0.037888028,0.040355485,0.09133963
"4933434E20Rik",1.4676135,0.9845675,0.85833377,0.96965486,0.56466246,0.41243318,0.5436851,0.36484995,1.2807237,0.6228548,1.0679458,0.6854799,1.7398589,1.2132571,1.4024593,0.7394625,0.45485285,0.7881973,0.72884727,0.76275724,1.0386925,0.46011877,0.3410339,0.5479918,0.378001,0.54952884,0.39773777,0.37682545,0.29822975,0.44550952,1.2177507,0.6754142,0.4741443,1.1464713
"5031439G07Rik",0.1277493,0.063712575,0.077162996,0.11484256,0.042298913,0.036253013,0.059179977,0.034751922,0.19226559,0.029244259,0.067328,0.088490315,0.47914794,0.42221004,0.12648475,0.5101953,0.077600084,0.28240547,0.17859362,0.100363135,0.6005051,0.047800817,0.036502793,0.015359334,0.020343266,0.016889323,0.01569583,0.030855834,0.030954428,0.024934223,0.19216122,0.020953385,0.020621879,0.55115026
"5730455P16Rik",0.39684638,0.1995102,0.14752294,0.33576941,0.035721906,0.04360854,0.06300524,0.05151324,0.08794142,0.09714465,0.04883335,0.0958121,0.1318525,0.122838296,0.18757188,0.05181334,0.04268088,0.03977926,0.025351511,0.10586099,0.058302578,0.07706797,0.09652265,0.06797918,0.042114016,0.06297967,0.04848789,0.059701346,0.04832758,0.072849095,0.21144727,0.07893594,0.057987295,0.040501934
"6030458C11Rik",0.09846145,0.05242377,0.046262853,0.048442855,0.017244887,0.031618215,0.030445496,0.024716005,0.061951023,0.05494687,0.03988926,0.016428975,0.12810537,0.09407132,0.066507116,0.034309853,0.03983063,0.13493352,0.049752336,0.18230657,0.060527343,0.04376387,0.028440487,0.030924851,0.029966418,0.05375128,0.029511232,0.03216592,0.031859748,0.037683137,0.104196504,0.060060233,0.051257823,0.12986909
"9130008F23Rik",0.0008825948,0.001426423,0.00061940844,0.030067215,0.008133415,0.00044817408,0.00028400193,0.00021424235,0.00189479,0.0045574345,0.05291395,0.022475332,0.01170085,0.008993233,0.3455842,0.03167144,0.0032847351,0.019132635,0.017527508,0.14374956,0.005224421,0.0012816929,0.0015149615,0.00056857197,0.0004119643,0.00048624698,0.00048913155,0.0008832616,0.00043192843,0.00079913205,0.02152481,0.0018773518,0.0009591246,0.052536983
"9130401M01Rik",0.3891747,0.20093836,0.1821433,0.33376068,0.10353462,0.06265238,0.09315842,0.06506949,0.27233773,0.095042,0.24452023,0.07726461,0.24568245,0.088976845,0.12853044,0.08047172,0.017201941,0.14603984,0.119965106,0.1803459,0.13880812,0.106455,0.0868298,0.069431074,0.07434791,0.116117395,0.069607794,0.062833145,0.074155346,0.07120558,0.3453991,0.13208546,0.08785094,0.058146007
"9530003J23Rik",0.0036393213,0.0011962315,0.0018788179,0.023366507,0.0075193336,0.0011959674,0.005091407,0.0004567002,0.027801778,0.012230249,7.8891344,16.55016,41.213757,0.018805882,0.34124145,0.72601515,0.008077033,20.274168,3.0681791,0.11693894,33.971992,0.008569321,0.0065257032,0.004038198,0.0020363189,0.0065119755,0.0006743308,0.0020297964,0.007936216,0.00080287305,0.01555733,0.01147113,0.00079469144,0.9945109
"9530068E07Rik",0.52067626,0.34787628,0.37064666,0.41321266,0.16787028,0.18355036,0.18105306,0.18308896,0.36466736,0.14744136,0.864567,0.06517386,0.55165327,0.49148363,0.38045436,1.2332245,0.2562666,0.2073613,0.1729595,0.10692337,0.21163632,0.17818679,0.13249063,0.106353514,0.09043525,0.13177192,0.09349061,0.10248363,0.08245759,0.0798557,0.27610987,0.15315609,0.10353434,0.50003856
"9930021J03Rik",0.1966542,0.15062377,0.13011149,0.19151078,0.18143098,0.11290754,0.15225099,0.089813195,0.21364981,0.08724391,0.08542478,0.020633126,0.33733842,0.1496068,0.2752439,0.42648658,0.15878437,0.1796818,0.13193431,0.105032526,0.11605872,0.15986975,0.15224548,0.14433643,0.12964049,0.15339355,0.11544004,0.13203529,0.122638136,0.10618383,0.24894446,0.14606787,0.10371502,0.4306021
"9930104L06Rik",0.13335064,0.034772705,0.052070413,0.09477577,0.10032127,0.054789692,0.054347362,0.055028364,0.08978831,0.17819987,0.087860726,0.047515363,0.12499985,0.27374294,0.11784587,0.13709803,0.04406132,0.029967297,0.054427806,0.1307685,0.020327335,0.052731156,0.052437965,0.049568173,0.04096992,0.029632546,0.06499324,0.032849215,0.0325777,0.07784867,0.11926287,0.04591129,0.046748176,0.2847029
"a",0.00042791906,0.00079465867,0.0014264435,0.026593206,0.010406601,0.0029138508,0.002036542,0.0009492952,0.0018978242,0.005157435,0.092431724,0.020444412,0.010489882,0.8602011,0.0061406153,0.031382244,0.0029237343,0.033892803,0.016722245,0.34594306,0.0055106417,0.0023182866,0.0016236285,0.0011998598,0.0009514934,0.007597786,0.00030900224,0.0009059515,0.0004636812,0.0007051911,0.0050050323,0.0035667033,0.0006544017,0.057028946
"A1bg",0.18155552,0.11455691,0.16721918,0.29260746,0.26374343,0.19015296,0.31522733,0.1845995,0.8750074,0.35320652,0.65089476,0.13884763,0.42962375,1.739367,0.19844106,0.3387298,0.22502887,0.5640603,0.19648714,0.61082476,0.39427143,0.15580049,0.1837771,0.2591426,0.21634471,0.105540134,0.2082011,0.34308356,0.17964005,0.58531433,0.32879695,0.1614659,0.20549501,0.22917989
"A2m",0.00062073127,0.0013666783,0.00059430336,0.024629243,0.009411765,0.00046239412,0.00078909035,0.0002515783,0.0021565615,0.004505884,0.09515889,0.018861352,0.059647165,0.019215321,9.463618,0.028131066,0.006734356,0.72285175,0.3442676,0.112299435,0.036262505,0.0049458714,0.0065093385,0.0038926098,0.0022079954,0.0012884402,0.001033,0.0044280416,0.0063671777,0.0016035044,0.0045305504,0.0017153061,0.0017602557,4.173988
"A430005L14Rik",0.39715716,0.110509776,0.18414246,0.2439401,0.12958828,0.08128121,0.121846415,0.08820916,0.1540577,0.20771125,0.053952552,0.14512078,0.36930168,0.097922415,0.25312224,0.18525794,0.073240116,0.056221448,0.19033858,0.2946026,0.100390784,0.19172107,0.0965796,0.11474897,0.08513007,0.1464264,0.100990064,0.07846682,0.13229188,0.10457902,0.371178,0.15887594,0.11338054,0.60240775
"A4galt",0.9468033,0.70919234,0.63748056,1.4052486,0.023588283,0.007362089,0.014719979,0.0091122035,0.0821958,0.05999477,0.089656584,0.022049885,0.05527934,0.088788226,1.1084243,0.13062981,0.14167036,0.027703347,0.016254203,0.10603526,0.0069550434,0.020382114,0.0030921479,0.0011637087,0.00063079875,0.00091177336,0.0007261992,0.001603426,0.0026017,0.0010906118,0.010651234,0.002708622,0.0016731973,0.99158484
"AA467197",0.015659854,0.005246849,0.0010459035,0.030733218,0.009583242,0.0017508618,0.0005947773,0.0014544405,0.0040021325,0.013852109,1.3633227,1.076654,4.8561926,0.067104116,0.009656127,1.9984752,0.22557218,3.878635,0.29074323,0.2634085,2.1655796,0.010841637,0.016654115,0.0056296433,0.0005873444,0.0015160678,0.0010091038,0.006125593,0.0042537027,0.0028410866,0.0050987373,0.0016620539,0.0019118657,0.086425126
"Aaas",0.45321652,0.11786429,0.15948275,0.15514438,0.14560553,0.08236637,0.11240469,0.09294426,0.27184856,0.13074611,0.15606162,0.06981994,0.71404624,0.5641067,0.16685793,0.24089928,0.07826679,0.14670852,0.12174849,0.10595129,0.062945955,0.10039189,0.101814575,0.08505931,0.06800225,0.09345769,0.07942396,0.066497415,0.067196585,0.0919067,0.33602026,0.070368834,0.0853635,0.2905823
"Aacs",0.16312675,0.15516733,0.07990941,0.16554743,0.025522307,0.025143202,0.032650918,0.02377256,0.18143527,0.012594585,0.049729537,0.046807557,0.056043368,0.15273374,0.054643255,0.15665044,0.04705499,0.046484735,0.04371305,0.11716386,0.014030443,0.0794048,0.020869883,0.0218079,0.029655451,0.11743762,0.020904977,0.023581203,0.026639055,0.020296318,0.064538926,0.05370766,0.028736724,0.15593658
