"","B_Cycling","B_GC_DZ","B_GC_LZ","B_GC_prePB","B_IFN","B_activated","B_mem","B_naive","B_plasma","B_preGC","DC_CCR7.","DC_cDC1","DC_cDC2","DC_pDC","Endo","FDC","ILC","Macrophages_M1","Macrophages_M2","Mast","Monocytes","NK","NKT","T_CD4.","T_CD4._TfH","T_CD4._TfH_GC","T_CD4._naive","T_CD8._CD161.","T_CD8._cytotoxic","T_CD8._naive","T_TIM3.","T_TfR","T_Treg","VSMC"
"Elmod3",0.13183197,0.061230406,0.081689686,0.18703277,0.10841805,0.07684836,0.108687125,0.07963065,0.11009701,0.053377356,0.095713556,0.020418737,0.27586508,0.08604168,0.17235751,0.2454695,0.07345214,0.032809675,0.06543734,0.20428416,0.072043195,0.12928976,0.09125776,0.10445892,0.07220777,0.10784804,0.08538851,0.073364586,0.08481086,0.070673384,0.17350607,0.124606915,0.097453244,0.17142357
"Eln",0.0004373871,0.0006806117,0.00058412156,0.028600005,0.0082840845,0.0004500606,0.00013596016,0.0004301856,0.0019601216,0.004969649,0.06913647,0.019373205,0.022038193,0.009515398,0.5198865,0.32104144,0.0030004582,0.017533159,0.016793747,0.21614653,0.0049064015,0.0011490369,0.0017423364,0.00053249334,0.0004870344,0.0005493449,0.00043785656,0.00079183734,0.00046578655,0.0020154389,0.0050499383,0.0018962477,0.00092845503,2.7643454
"Elof1",0.8572432,0.47590157,0.4912812,0.71456826,0.39392722,0.23961054,0.49437684,0.24413398,0.5843801,0.6587472,0.31043166,0.30894902,0.64246386,0.5546707,0.40502855,0.22892903,0.22675274,0.15722546,0.2609438,0.24190806,0.32907954,0.22859915,0.20310748,0.24479958,0.15655312,0.3289005,0.18979411,0.21590136,0.20882364,0.21961242,0.7080233,0.37652746,0.24106978,0.3093104
"Elovl1",0.51698196,0.25807676,0.33200228,0.21773556,0.26365945,0.14390177,0.22513366,0.1541917,0.22652793,0.22692975,0.8583435,0.41480306,1.0132536,0.4035545,0.8326048,0.23079531,0.20915996,0.23465073,0.15477319,0.19652346,0.2964839,0.27365375,0.1771123,0.16374536,0.106852755,0.18346383,0.08469825,0.11628476,0.16294676,0.10619556,0.4098976,0.21252097,0.1292882,0.18648675
"Elovl2",0.0013099771,0.000795783,0.00066516513,0.031372324,0.009138519,0.00044700658,0.00021781152,0.00022665758,0.0020894115,0.0046627866,0.06257522,0.020232685,0.01214675,0.008480734,0.13047554,0.06176664,0.0028620884,0.01948259,0.018697854,0.1976182,0.0058012833,0.0011662226,0.0018378041,0.0005427905,0.00035972008,0.00052298733,0.00029446182,0.0008885744,0.0004083983,0.0007457887,0.005310141,0.0020319747,0.00066512026,0.06632003
"Elovl4",0.0032449241,0.0013944152,0.0048446846,0.030183725,0.0097797075,0.0004476893,0.00016234795,0.00034694417,0.005433875,0.005692185,0.06867071,0.020459132,0.01980656,0.010153627,0.009205557,0.03460208,0.023198996,0.017804755,0.016328448,0.18208219,0.0056373198,0.0041940347,0.19071789,0.052884705,0.0010289644,0.0009633876,0.007186791,0.010874416,0.010249214,0.020132583,0.005363949,0.012645906,0.0006748581,0.18037696
"Elovl5",1.4026494,0.8426576,1.1390495,0.69201577,0.6648655,0.779767,0.78522265,0.71340245,0.4110976,0.6765542,0.5293074,0.8870224,1.4878321,0.49136242,0.47725934,0.9838925,0.88066065,0.45082742,0.1444387,0.8485792,0.3221272,0.43222347,0.4824525,0.56838346,0.34321368,0.5474669,0.26969334,0.37273806,0.34966004,0.21400118,1.1451291,0.687496,0.49535525,0.5223582
"Elovl7",0.0008680344,0.001274888,0.0006180629,0.022426374,0.009564991,0.00041730943,0.00014014526,0.00032015218,0.0020670635,0.004693861,0.20310989,0.02001192,0.021134373,0.008886863,0.35652706,0.02756419,0.003430244,0.017699135,0.017589886,0.11667615,0.014805566,0.0013437687,0.0027579481,0.0013705895,0.00038792414,0.0009968105,0.0005297659,0.00078987307,0.00041602057,0.0007763063,0.0045001437,0.0017586517,0.0011701159,0.052788902
"Elp2",0.3885265,0.2714483,0.29159552,0.20092829,0.29873833,0.23549816,0.27563122,0.21486028,0.26815093,0.38457188,0.41537872,0.165787,0.4432291,0.40758175,0.3934034,0.55067635,0.1766556,0.19415896,0.21833536,0.1816955,0.2279041,0.16125447,0.15208943,0.22614077,0.20541646,0.23275912,0.23536924,0.21381585,0.18192463,0.2738223,0.372574,0.19309789,0.25070143,0.7071042
"Elp3",0.32456428,0.14628291,0.18499023,0.3571739,0.18082008,0.09496522,0.11082903,0.0883551,0.1339174,0.15517867,0.118607596,0.08831483,0.15885597,0.16388594,0.13205363,0.048256226,0.09718484,0.097623244,0.10438926,0.11635599,0.057697434,0.11744209,0.12392733,0.10896853,0.0562808,0.054909766,0.06291944,0.07252955,0.06691218,0.06025281,0.15567198,0.08359995,0.05771376,0.13492249
